field_id,field_url,field_type
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0001/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0002/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0003/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0004/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0005/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0006/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0007/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0008/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0009/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0010/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0011/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0012/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0013/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0014/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0015/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0016/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0017/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0018/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0019/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0020/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0021/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0022/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0023/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0024/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0025/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0026/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0027/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0028/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0029/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0030/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0031/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0032/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0033/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0034/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0035/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0036/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0037/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0038/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0039/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0040/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0041/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0042/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0043/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0044/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0045/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0046/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0047/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0048/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0049/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0050/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0051/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0052/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0053/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0054/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0055/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0056/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0057/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0058/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0059/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0060/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0061/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0062/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0063/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0064/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0065/info.json,iiif
loc_2008427768v12,https://tile.loc.gov/image-services/iiif/service:asian:asianscd:2008427768v12:0066/info.json,iiif